Date,Canton,Value
2020-03-08,Neuchâtel,13.57
2020-03-08,Zug,2.37
2020-03-08,Uri,0.00
2020-03-08,Jura,5.45
2020-03-08,St. Gallen,0.98
2020-03-08,Bern,1.64
2020-03-08,Schwyz,3.77
2020-03-08,Basel Stadt,12.32
2020-03-08,Appenzell Innerrhoden,0.00
2020-03-08,Thurgau,0.36
2020-03-08,Liechtenstein,2.58
2020-03-08,Glarus,0.00
2020-03-08,Genève,8.81
2020-03-08,Zürich,2.63
2020-03-09,Neuchâtel,15.27
2020-03-09,Appenzell Ausserrhoden,3.62
2020-03-09,Schaffhausen,0.00
2020-03-09,Nidwalden,0.00
2020-03-09,Thurgau,0.72
2020-03-09,Liechtenstein,2.58
2020-03-09,Schwyz,3.77
2020-03-09,Obwalden,0.00
2020-03-09,Basel Stadt,14.38
2020-03-09,Solothurn,0.37
2020-03-09,Glarus,0.00
2020-03-09,Appenzell Innerrhoden,0.00
2020-03-09,Fribourg/Freiburg,2.82
2020-03-09,Luzern,2.44
2020-03-09,Jura,6.81
2020-03-09,Graubünden/Grison,9.07
2020-03-09,Valais/Wallis,5.23
2020-03-09,St. Gallen,2.56
2020-03-09,Vaud,6.38
2020-03-09,Ticino,17.26
2020-03-09,Bern,3.29
2020-03-09,Zug,7.88
2020-03-09,Basel Land,7.29
2020-03-09,Zürich,3.22
2020-03-09,Uri,0.00
2020-03-09,Aargau,2.19
2020-03-09,Genève,11.81
2020-03-10,Nidwalden,0.00
2020-03-10,Appenzell Innerrhoden,0.00
2020-03-10,Obwalden,0.00
2020-03-10,Valais/Wallis,6.69
2020-03-10,Glarus,2.48
2020-03-10,Fribourg/Freiburg,3.77
2020-03-10,Zürich,4.08
2020-03-10,Thurgau,1.81
2020-03-10,St. Gallen,2.76
2020-03-10,Vaud,16.27
2020-03-10,Genève,15.82
2020-03-10,Aargau,2.63
2020-03-10,Bern,3.29
2020-03-10,Basel Stadt,16.94
2020-03-10,Solothurn,0.37
2020-03-10,Appenzell Ausserrhoden,3.62
2020-03-10,Jura,8.17
2020-03-10,Uri,0.00
2020-03-10,Zug,7.88
2020-03-10,Liechtenstein,2.58
2020-03-10,Luzern,2.69
2020-03-10,Schaffhausen,0.00
2020-03-10,Schwyz,3.77
2020-03-10,Graubünden/Grison,11.09
2020-03-10,Ticino,21.23
2020-03-10,Basel Land,8.33
2020-03-10,Neuchâtel,17.53
2020-03-11,Schwyz,3.77
2020-03-11,St. Gallen,4.33
2020-03-11,Ticino,30.28
2020-03-11,Neuchâtel,20.92
2020-03-11,Vaud,25.40
2020-03-11,Schaffhausen,1.22
2020-03-11,Glarus,2.48
2020-03-11,Graubünden/Grison,14.62
2020-03-11,Zürich,6.64
2020-03-11,Fribourg/Freiburg,5.02
2020-03-11,Luzern,2.93
2020-03-11,Thurgau,1.81
2020-03-11,Obwalden,0.00
